"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @bravoqatar2022: Who will qualify next? #WorldCup2022 https://t.co/RmLkceIfOH",FALSE,0,NA,2022-11-27 09:49:21,FALSE,NA,"1596803352280838144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hareshpopat142",4,TRUE,FALSE,NA,NA
"RT @grapeguzzling: Game on! 🇵🇹 ⚽ 🦃 
#Portugal #PortugueseWine #Alentejo #AlentejoWines #Alentejano #Porto #Port #PortWine #VintagePort #Ant…",FALSE,0,NA,2022-11-27 09:49:20,FALSE,NA,"1596803348883439616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CenterPortugal",5,TRUE,FALSE,NA,NA
"RT @BitKeepOS: ⚽️ #BitKeep FootBall Carnival Main Event is coming⚽️

🥳 Trading activity &amp; Community quiz 🥳

📅Nov 21 - Dec 20
✅Join our TG &amp;…",FALSE,0,NA,2022-11-27 09:49:20,FALSE,NA,"1596803348703121408",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hfvcngj",15148,TRUE,FALSE,NA,NA
"RT @BitKeepOS: ⚽️ #BitKeep FootBall Carnival Main Event is coming⚽️

🥳 Trading activity &amp; Community quiz 🥳

📅Nov 21 - Dec 20
✅Join our TG &amp;…",FALSE,0,NA,2022-11-27 09:49:19,FALSE,NA,"1596803346647908354",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hyacinthvcd",15148,TRUE,FALSE,NA,NA
"RT @INORAN_OFFICIAL: Go Nippon🇯🇵!!!!!! 
#WorldCup2022",FALSE,0,NA,2022-11-27 09:49:19,FALSE,NA,"1596803344307474432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LUNATIC_A_Will",18,TRUE,FALSE,NA,NA
"Lucy Ted #WorldCup2022 Zero Marjory Annabelle Eve Gabrielle More https://t.co/JfgRCRlOUV",FALSE,0,NA,2022-11-27 09:49:17,FALSE,NA,"1596803338145738753",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fawwaz_tuma",0,FALSE,FALSE,NA,NA
"RT @bravoqatar2022: Who will qualify next? #WorldCup2022 https://t.co/RmLkceIfOH",FALSE,0,NA,2022-11-27 09:49:16,FALSE,NA,"1596803331544190976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RKizilko",4,TRUE,FALSE,NA,NA
"RT @INORAN_OFFICIAL: Go Nippon🇯🇵!!!!!! 
#WorldCup2022",FALSE,0,NA,2022-11-27 09:49:15,FALSE,NA,"1596803330835369984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yucop731",18,TRUE,FALSE,NA,NA
"RT @Samar_Iss: ONCE UPON A TIME IN GERMANY 2014!!🖤
#worldcup #WorldCup2022 #germany https://t.co/bCdklIXrDk",FALSE,0,NA,2022-11-27 09:49:15,FALSE,NA,"1596803329765429249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fadia_hareb",1,TRUE,FALSE,NA,NA
"RT @INORAN_OFFICIAL: Go Nippon🇯🇵!!!!!! 
#WorldCup2022",FALSE,0,NA,2022-11-27 09:49:15,FALSE,NA,"1596803327861612544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tomo_nobu_1429",18,TRUE,FALSE,NA,NA
"RT @INORAN_OFFICIAL: Go Nippon🇯🇵!!!!!! 
#WorldCup2022",FALSE,0,NA,2022-11-27 09:49:14,FALSE,NA,"1596803326615908354",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Skarmory98344",18,TRUE,FALSE,NA,NA
"Japan 🇯🇵 - Costa Rica 🇨🇷 
Spain 🇪🇸 - Germany 🇩🇪 
🔥🔥
#WorldCup2022",FALSE,0,NA,2022-11-27 09:49:12,FALSE,NA,"1596803314519244802",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ruimizusakilebs",0,FALSE,FALSE,NA,NA
"RT @HookdProtocol: You’ll receive 200 $HOOK ($37) 🎉

400.000 #HOOK For 2,000 Partcipants complete task

1. 🚀 Follow Us
2. 💥 Like + RT this…",FALSE,0,NA,2022-11-27 09:49:06,FALSE,NA,"1596803293141159942",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AkremAbdelaziz",2504,TRUE,FALSE,NA,NA
"RT @BitKeepOS: ⚽️ #BitKeep FootBall Carnival Main Event is coming⚽️

🥳 Trading activity &amp; Community quiz 🥳

📅Nov 21 - Dec 20
✅Join our TG &amp;…",FALSE,0,NA,2022-11-27 09:49:06,FALSE,NA,"1596803291941597184",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cvfdsfvhdf",15148,TRUE,FALSE,NA,NA
"Not just at #WorldCup2022 in Qatar. https://t.co/HR9Q9vo0iB",FALSE,0,NA,2022-11-27 09:49:04,FALSE,NA,"1596803285071015939",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrisclayton98",0,FALSE,FALSE,NA,NA
"RT @INORAN_OFFICIAL: Go Nippon🇯🇵!!!!!! 
#WorldCup2022",FALSE,0,NA,2022-11-27 09:49:03,FALSE,NA,"1596803279060885505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","noriti0731",18,TRUE,FALSE,NA,NA
"RT @BitKeepOS: ⚽️ #BitKeep FootBall Carnival Main Event is coming⚽️

🥳 Trading activity &amp; Community quiz 🥳

📅Nov 21 - Dec 20
✅Join our TG &amp;…",FALSE,0,NA,2022-11-27 09:49:02,FALSE,NA,"1596803274992013312",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zhaowujis",15148,TRUE,FALSE,NA,NA
"Another day of World Cup 2022 and time for the next game⚽

Take part in our Gleam contest and don't miss your chanc… https://t.co/uM3LOCef1j",FALSE,0,NA,2022-11-27 09:49:00,TRUE,NA,"1596803265257152512",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","hololoot",0,FALSE,FALSE,NA,NA
"RT @BitKeepOS: ⚽️ #BitKeep FootBall Carnival Main Event is coming⚽️

🥳 Trading activity &amp; Community quiz 🥳

📅Nov 21 - Dec 20
✅Join our TG &amp;…",FALSE,0,NA,2022-11-27 09:48:54,FALSE,NA,"1596803239059804161",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","zhangwudix",15148,TRUE,FALSE,NA,NA
"RT @INORAN_OFFICIAL: Go Nippon🇯🇵!!!!!! 
#WorldCup2022",FALSE,0,NA,2022-11-27 09:48:52,FALSE,NA,"1596803234622210048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aya_51672",18,TRUE,FALSE,NA,NA
